epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,140.509,1.26241,0.73931,1.09286,1,0.99425,0.995,0.69065,0.9768,0.60581,0.93688,0.000608468,0.000608468,0.000608468
60,142.791,1.38543,0.9039,1.11864,0.98798,1,0.995,0.69985,0.97832,0.63157,0.94114,0.000594321,0.000594321,0.000594321
61,145.023,1.38476,0.80305,1.15469,1,0.99636,0.995,0.68398,1.09007,0.68704,0.95094,0.000580174,0.000580174,0.000580174
62,147.251,1.30665,0.7836,1.09958,0.89828,0.98283,0.973,0.73456,0.94287,0.64708,0.87585,0.000566027,0.000566027,0.000566027
63,149.444,1.31214,0.76977,1.13403,0.87387,0.88889,0.96278,0.73606,0.94475,0.65181,0.873,0.00055188,0.00055188,0.00055188
64,151.692,1.30407,0.80107,1.15421,0.85157,1,0.973,0.77193,0.83715,0.64748,0.88331,0.000537733,0.000537733,0.000537733
65,153.987,1.32456,0.78508,1.159,0.8831,1,0.984,0.76947,0.84157,0.62686,0.92181,0.000523586,0.000523586,0.000523586
66,156.251,1.35292,1.03422,1.18617,0.98415,1,0.995,0.74455,0.86903,0.58233,0.93989,0.000509438,0.000509438,0.000509438
67,158.515,1.19852,0.75642,1.05966,0.98601,1,0.995,0.76587,0.88267,0.5663,0.94233,0.000495291,0.000495291,0.000495291
68,160.771,1.32099,0.83149,1.13444,0.88749,1,0.984,0.749,0.86166,0.65091,0.9045,0.000481144,0.000481144,0.000481144
69,163.057,1.18705,0.7123,1.08706,0.97383,1,0.995,0.77612,0.85421,0.67995,0.86497,0.000466997,0.000466997,0.000466997
70,165.38,1.34204,0.84913,1.16834,0.87924,1,0.973,0.77952,0.87362,0.69458,0.85737,0.00045285,0.00045285,0.00045285
71,167.765,1.28123,0.76667,1.11649,0.92217,1,0.995,0.79527,0.88733,0.72009,0.85972,0.000438703,0.000438703,0.000438703
72,170.156,1.33959,0.83009,1.06656,1,0.99669,0.995,0.81097,0.76746,0.65011,0.85918,0.000424556,0.000424556,0.000424556
73,172.497,1.31574,0.72165,1.10973,1,0.99248,0.995,0.82068,0.65208,0.63271,0.85528,0.000410409,0.000410409,0.000410409
74,174.83,1.3224,0.75061,1.11198,0.99691,1,0.995,0.83316,0.70448,0.57062,0.85561,0.000396262,0.000396262,0.000396262
75,177.147,1.31065,0.72623,1.06218,0.98733,1,0.995,0.80834,0.67033,0.52157,0.8401,0.000382115,0.000382115,0.000382115
76,179.419,1.21082,0.7062,1.09476,0.98858,1,0.995,0.79001,0.63142,0.53996,0.8361,0.000367967,0.000367967,0.000367967
77,181.707,1.24201,0.76134,1.0874,0.98695,1,0.995,0.83815,0.73919,0.53371,0.84881,0.00035382,0.00035382,0.00035382
78,184.177,1.32128,0.79621,1.1234,0.98492,1,0.995,0.79489,1.07678,0.54726,0.90966,0.000339673,0.000339673,0.000339673
79,186.506,1.23593,0.7801,1.01173,0.98633,1,0.995,0.79574,1.17331,0.56432,0.93551,0.000325526,0.000325526,0.000325526
80,188.753,1.32229,0.7788,1.22588,0.98284,1,0.995,0.78718,1.07817,0.58446,0.9295,0.000311379,0.000311379,0.000311379
81,190.998,1.16935,0.67208,1.03746,0.9849,1,0.995,0.81459,0.9156,0.58859,0.90375,0.000297232,0.000297232,0.000297232
82,193.313,1.20824,0.68363,1.04144,0.98608,1,0.995,0.82878,0.86741,0.57292,0.89306,0.000283085,0.000283085,0.000283085
